simplified	traditional_in_level_2	traditional_in_level_1	level_1_order	first_level_2_mapping
朝廷	朝廷	朝廷	1667	5313_1
下午	下午	下午	2765	5314_1
形式	形式	形式	2380	5323_1
城墙	城牆	城墻	2663	5336_1
一点	一點	一點	566	5364_1
由于	由於	由於	1920	5373_1
行动	行動	行動	525	5373_1
根据	根據	根據	2133	5380_1
图片	圖片	圖片	1291	5391_1
来自	來自	來自	480	5391_1
饲养	飼養	飼養	1380	5424_1
真是	真是	真是	1348	5427_1
优质	優質	優質	2025	5458_1
常常	常常	常常	1030	5470_1
资源	資源	資源	914	5492_1
为了	為了	爲了	170	5492_1
争夺	爭奪	爭奪	461	5492_1
生存	生存	生存	399	5492_1
露出	露出	露出	1408	5516_1
微笑	微笑	微笑	883	5516_1
青岛	青島	青島	1001	5525_1
必不可少	必不可少	必不可少	1007	5525_1
认为	認為	認為	195	5529_1
上帝	上帝	上帝	1862	5529_1
儿子	兒子	兒子	2528	5529_1
感到	感到	感到	271	5534_1
夹克	夾克	夾克	105	5534_1
湖南	湖南	湖南	1426	5537_1
热闹	熱鬧	熱鬧	1402	5546_1
下来	下來	下來	774	5546_1
地步	地步	地步	2304	5546_1
克制	剋制	剋制	870	5552_1
慢慢	慢慢	慢慢	1699	5577_1
沟通	溝通	溝通	1050	5582_1
交通	交通	交通	70	5582_1
军事	軍事	軍事	347	5589_1
打击	打擊	打擊	1804	5589_1
明白	明白	明白	707	5589_1
下令	下令	下令	281	5589_1
终于	終於	終於	218	5602_1
母亲	母親	母親	729	5608_1
称号	稱號	稱號	296	5608_1
别具一格	別具一格	別具一格	949	5610_1
方面	方面	方面	1585	5611_1
客户	客戶	客戶	1700	5611_1
检查	檢查	檢查	886	5612_1
方式	方式	方式	586	5612_1
减少	減少	減少	2260	5612_1
岛屿	島嶼	島嶼	552	5614_1
附近	附近	附近	1113	5614_1
辗转	輾轉	輾轉	2675	5616_1
好朋友	好朋友	好朋友	412	5617_1
疾病	疾病	疾病	1390	5617_1
昨天	昨天	昨天	267	5617_1
邓小平	鄧小平	鄧小平	216	5628_1
相互	相互	相互	1716	5652_1
单位	單位	單位	1411	5683_1
最近	最近	最近	957	5686_1
电视	電視	電視	61	5686_1
直播	直播	直播	568	5690_1
简单	簡單	簡單	881	5691_1
关系	關係	關係	613	5700_1
每天	每天	每天	1780	5702_1
艺术	藝術	藝術	102	5707_1
时期	時期	時期	346	5717_1
不愿	不願	不願	2493	5717_1
科举	科舉	科舉	835	5717_1
道路	道路	道路	660	5717_1
上海	上海	上海	448	5734_1
有时	有時	有時	3	5735_1
用于	用於	用於	1219	5735_1
谭嗣同	譚嗣同	譚嗣同	2706	5736_1
孙中山	孫中山	孫中山	739	5736_1
储量	儲量	儲量	2449	5739_1
衣服	衣服	衣服	833	5740_1
最好	最好	最好	1401	5768_1
鲨鱼	鯊魚	鯊魚	2743	5769_1
百万	百萬	百萬	1900	5772_1
超过	超過	超過	476	5772_1
冬天	冬天	冬天	2491	5777_1
晚上	晚上	晚上	1222	5812_1
分钟	分鍾	分鐘	921	5812_1
大约	大約	大約	2241	5812_1
国家	國家	國家	648	5824_1
赋予	賦予	賦予	1213	5826_1
高兴	高興	高興	687	5841_1
加以	加以	加以	227	5841_1
记者	記者	記者	394	5861_1
观点	觀點	觀點	760	5861_1
有人	有人	有人	291	5867_1
无知	無知	無知	2275	5869_1
糊涂	糊塗	糊塗	2093	5869_1
俄罗斯	俄羅斯	俄羅斯	165	5871_1
因素	因素	因素	2105	5871_1
位置	位置	位置	1523	5884_1
春天	春天	春天	2407	5893_1
恶劣	惡劣	惡劣	1921	5900_1
表现	表現	表現	2603	5900_1
系统	系統	系統	1873	5901_1
比赛	比賽	比賽	500	5901_1
全面	全面	全面	885	5901_1
崩溃	崩潰	崩潰	2482	5901_1
我国	我國	我國	188	5917_1
广泛	廣泛	廣泛	783	5917_1
保持	保持	保持	732	5931_1
咕噜	咕嚕	咕嚕	305	5935_1
世纪	世紀	世紀	781	5948_1
永恒	永恆	永恆	2383	5948_1
一对	一對	一對	1983	5950_1
柔软	柔軟	柔軟	1855	5970_1
长江	長江	長江	364	5972_1
灭绝	滅絕	滅絕	2772	5972_1
人类	人類	人類	395	5986_1
项目	專案	項目	1524	6022_1
五彩	五綵	五彩	2659	6023_1
扬州	揚州	揚州	449	6053_1
出门	出門	出門	1372	6061_1
世界	世界	世界	1022	6074_1
进入	進入	進入	981	6097_1
不停	不停	不停	306	6097_1
耳朵	耳朵	耳朵	1616	6097_1
辅助	輔助	輔助	2187	6118_1
工匠	工匠	工匠	1677	6119_1
艰难	艱難	艱難	1489	6123_1
饺子	餃子	餃子	1729	6123_1
今天	今天	今天	21	6140_1
体系	體系	體系	2444	6141_1
家人	家人	家人	1292	6148_1
出售	出售	出售	1623	6148_1
受到	受到	受到	1883	6156_1
组织	組織	組織	262	6156_1
景色	景色	景色	644	6161_1
坟墓	墳墓	墳墓	841	6210_1
领袖	領袖	領袖	878	6247_1
辩论	辯論	辯論	2771	6247_1
特征	特徵	特徵	1331	6249_1
有关	有關	有關	1565	6252_1
啄木鸟	啄木鳥	啄木鳥	1103	6263_1
经验	經驗	經驗	2140	6280_1
喜鹊	喜鵲	喜鵲	2541	6285_1
妻子	妻子	妻子	1827	6308_1
看到	看到	看到	1955	6308_1
从而	從而	從而	150	6308_1
国际	國際	國際	543	6311_1
亚洲	亞洲	亞洲	452	6311_1
飞过	飛過	飛過	1165	6334_1
